Назва,Адреса,46.4825,30.7233,Пн-пт,08:00–17:00,ЄДРПОУ/Ідент №,Телефони,Unnamed: 8,Unnamed: 9,100 000 ,"Сілосний, напольний",Unnamed: 12,Unnamed: 13,40 км/год,"Заднє, Бокове, гравітаційне, Шнекове, Пневматичне, Ручне",4 м,12 м,40 т,"Самоскид, зерновоз, тентовий",30 км/год,"Верхнє, бокове, Пневматичне, Шнекове, ",3.8 м,11 м,38 т,"Самоскид, зерновоз, тентовий.1",487654,25 км/год,Механічне,60 т,фронт 150 м,"піввагони, зерновози, контейнера",25 км/год.1,Механічне.1,60 т.1,фронт 150 м.1,Хопер,5 км/год,Трубопровід,річкові баржі,5 м,12 м.1,6 м,80 м,4 км/год,Крани,морські судна,7 м,15 м,7 м.1,120 м,Широта,Довгота
"ТОВ ""АЛІЯГСЬКИЙ ЕЛЕВАТОР"" (Татарбунари 2)","Одеська обл., Татарбунарський р-н, м. Татарбунари, вул. Князева, 92",,,,,40169012.0,,(048)453-60-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8391132,29.6145761
"ТОВ ""Білгород-Дністровський елеватор""","67700, Одеська область, м. Білгород-Дністровський, вул. Маршала Бірюзова, буд. 16",,,,,40043961.0,,(04849)2-22-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.18281320000001,30.3270518
"ТОВ ""Білгород-Дністровський елеватор"" (Дивізія-1)","68150, Одеська обл., Татарбунарський р-н, с. Дивізія, вул. Садова, буд. 106",,,,,40043961.0,,(04849)2-22-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9578346,29.984542
"ТОВ ""Білгород-Дністровський елеватор"" (Дивізія-2)","68150, Одеська обл., Татарбунарський р-н, с. Дивізія, вул. Колгоспна, буд. 20-А",,,,,40043961.0,,(04849)2-22-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9430157,29.9828316
"ТОВ ""Білгород-Дністровський елеватор"" (Йосипівка)","67811, Одеська обл., Овідіопольський р-н, с/рада Йосипівка, комплекс будівель та споруд №1",,,,,40043961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4013697,30.4400853
"ТОВ ""Білгород-Дністровський елеватор"" (Яськи)","67642, Одеська обл., Біляївський р-н, с. Яськи, вул. Севастопольська, буд. 18",,,,,40043961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5251771,30.0759766
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (Василівка)","67000, Одеська обл., Миколаївський р-н., сільрада Олексіївська, Виробничо-складська база, 2км від с. Василівка",,,,,40721317.0,(066)665-93-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.54339239999999,30.7546576
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (Гвоздівка Новоселів)","67030, Одеська обл., Миколаївський р-н, с. Гвоздівка, вул. Новоселів, буд. б/н",,,,,40721317.0,(066)665-93-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5051975,30.6858323
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (Гвоздівка, Гагаріна)","67030, Одеська обл., Миколаївський р-н, с. Гвоздівка, вул. Гагаріна, буд. б/н",,,,,40721317.0,(066)665-93-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5034009,30.6804063
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (Новопетрівка)","67030, Одеська обл., Миколаївський р-н, с. Новопетрівка, вул. Степова, буд. 36А",,,,,40721317.0,(066)665-93-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4666471,30.7203564
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (Переселенці)","67031, Одеська обл., Миколаївський р-н, с. Переселенці, вул. Ворошилова, буд. б/н",,,,,40721317.0,(066)665-93-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4809451,30.6687059
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (с/рада Олексіївська)","67010, Одеська обл., Миколаївський р-н, с/рада Олексіївська, будівлі та споруди ""Об'єкт №1""",,,,,40721317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.611602,30.5786586
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (с/рада Стрюківська)","67050, Одеська обл., Миколаївський р-н, с/рада Стрюківська, будівлі та споруди ""Об'єкт №2""",,,,,40721317.0,(066)665-93-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3775499,30.5664578
"ТОВ ""ВАСИЛІВСЬКИЙ ЕЛЕВАТОР"" (Ставкове)","67004, Одеська обл., Миколаївський р-н, с. Ставкове, Виробничо-складська база",,,,,40721317.0,(066)665-93-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6318542,30.7280357
"ТОВ ""ГРАВІТА ТРАНСШИПМЕНТ СОЛЮШИНЗ""","67840, Одеська обл., Овідіопольський р-н, с. Молодіжне, вул. Виноградна, 21",,,,,41196885.0,,(048)705-19-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3078738,30.6040854
"ТОВ ""Еко-Інтехмаркет""","66740, Одеська обл., Захарівський р-н., смт. Затишшя, вул. Суворова, 75",,,,,35357826.0,,(048)772-09-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3379045,29.8745272
"ТОВ ""Заплазський елеватор"" (Гуляївка)","Одеська обл., Березівський р-н, с. Гуляївка, провулок Миру, буд. 7",,,,,39767526.0,,(048)643-25-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0689514,30.9833597
"ТОВ ""Заплазський елеватор"" (Зеленогірське)","Одеська обл., Любашівський р-н, смт. Зеленогірське, вул. Заводська, буд. 1",,,,,39767526.0,,(048)643-25-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8755031,30.1005765
"ТОВ ""Заплазський елеватор"" (Солтанівка)","66521, Одеська обл., Любашівський р-н., с. Солтанівка, вул. Молодіжна, 97",,,,,39767526.0,,(04864)3-25-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8633286,30.1156127
"ТОВ ""Злата-Трейд"" (с. Сарата)","68200, Одеська обл., с. Сарата, вул. Промзона, буд. 14",,,,,35623200.0,(098)205-08-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.484583,30.7326
"ТОВ ""ЗПК ""Інзерноекспорт""","65003, Одеська обл., Одеса, вул. Хлібна гавань буд.5",,,,,31893739.0,,(048)729-40-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4845702,30.7326047
"ТОВ ""КЛОВ"" (Котовськ)","66303, Одеська область, м. Подільськ, вул. Соборна, буд. 218",,,,,31111564.0,(067)538-93-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7157567,29.5496336
"ТОВ ""Котовське ЗПП""","66300, Одеська обл., м. Подільськ, вул. Соборна, 200",,,,,00955182.0,,(04862)3-80-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7322558,29.54312569999999
"ТОВ ""ОЛЕКСІЇВСЬКИЙ ЕЛЕВАТОР""","67761, Одеська область, Білгород-Дністровський р-н., с. Олексіївка, вул. Вокзальна. буд. 12-А",,,,,40680243.0,,(04849)2-22-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.187589,30.336347
"ТОВ ""САРАТСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ""","68200, Одеська обл., Саратський р-н, смт. Сарата, вул. Заводська, буд. 9",,,,,41198678.0,,"(044)490-72-30, (04848)2-16-65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0199358,29.6734385
"ТОВ ""СП Рисоіл Термінал ""","68000, м. Чорноморськ, вул. Центральна, 20-А",,,,,31786337.0,,(048)683-49-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3007273,30.6605796
"ТОВ ""Чубівський КХП""","66362, Одеська область, Подільський р-н., с. Чубівка, вул. Заводська, 38",,,,,00955414.0,,(04862)9-75-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6511544,29.58525849999999
ТОВ „АТС Успіх”,"67832, Одеська обл., Овідіопольський, смт. Великодолинське, вул.Мізікевича буд.61",,,,,33624595.0,,(048)799-60-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3891394,30.6780342
ТОВ „Мардарівське ХПП”,"66373, Одеська обл., Котовський, с. Мардарівка, вул. Центральна, 1,2",,,,,34780851.0,,(04862)9-93-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5369915,29.7364979
"Транссервіс 2008, ТОВ","67840, Одеська обл., Овідіопольський, с. Молодіжне, вул. Залізнична буд.3",,,,,35818770.0,,(04868)7-98-40; (06748)6-11-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1432833,30.5275668
"Укрелеваторпром, ПрАТ","65003, Одеська обл., Одеса, Чорноморського козацтва буд.52/1",,,,,31640002.0,,(048)738-63-64; (048)738-63-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.50707209999999,30.7248424
"Укрелеваторпром, ПрАТ (дільниця № 1)","65003, Одеська обл., Одеса, вул. Хлібна гавань буд.6",,,,,31640002.0,,(048)738-63-64; (048)738-63-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4845702,30.7326047
"Хлібна база №77, ДП","67200, Одеська обл., Іванівський, смт Іванівка,",,,,,20947701.0,,(04854)3-14-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9755236,30.469358
"Агрофірма Дніпроагролан, ТОВ","38213, Полтавська обл., Семенівський р-н, с. Бурбине, вул. Дружби буд. 44А",,,,,31563604.0,,(05341)9-47-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7343646,33.0024892
"Баришівська зернова компанія, ТОВ (м. Пирятин)","37000, Полтавська обл., Пирятинський, м. Пирятин, вул. Південна буд.4",,,,,32886518.0,,(05358)2-05-60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2394849,32.5070927
"Бурат, ТОВ","36007, Полтавська обл., м. Полтава, вул. М. Бірюзова, буд. 43А",,,,,13948686.0,,(0532)61-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.59942170000001,34.5088453
"ВАСІЛКО, ТОВ","37010, Полтавська обл., Пирятинський, с. Давидівка, пров. Ватутіна буд.18",,,,,36426701.0,,(0532)50-50-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.36578979999999,32.3932697
"Гадяцький елеватор, ТДВ","37300, Полтавська область, Гадяцький район, м. Гадяч, вул. Героїв Майдану, 75",,,,,00955650.0,(050)590-01-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3866593,33.9796447
"ГІС, ТОВ","37600, Полтавська обл., Миргород, вул. Раскової буд.62",,,,,35025914.0,,(05355)4-03-58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9627279,33.6053331
"Дельта, ТОВ","39430, Полтавська обл., Машівський, с. Селещина, вул. Сонячна, буд.2",,,,,25467839.0,,(057)719-20-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4664066,34.8237814
"Державна продовольчо-зернова корпорація України, ПАТ (філія Кобеляцький КХП)","39213, Полтавська обл., Кобеляцький, с. Бутенки, вул. Полтавська буд.62",,,,,37243279.0,,(044)206-15-09; (05343)3-19-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2333825,34.1084762
"Державна продовольчо-зернова корпорація України, ПАТ(Кременчуцький КХП) ( Кременчук, вул. Ревенка буд.7а)","39603, Полтавська обл., Кременчук, вул. Ревенка буд.7а",,,,,37243279.0,,(044)206-15-09; (05366)3-30-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0934666,33.3872828
"Державна продовольчо-зернова корпорація України, ПАТ(Кременчуцький КХП) (м. Кременчук, вул. 1905 року буд.21)","39603, Полтавська обл., м. Кременчук, вул. 1905 року буд.21",,,,,37243279.0,,(044)206-15-09; (05366)3-30-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0707303,33.4040897
"Державна продовольчо-зернова корпорація України, ПАТ(м. Пирятин)","37000, Полтавська обл., Пирятинський, м. Пирятин, вул. Фабрична буд.17",,,,,37243279.0,,(05358)2-00-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2394849,32.5070927
"Державна продовольчо-зернова корпорація України, ПАТ(філія Гребінківський елеват","37400, Полтавська обл., Гребінківський, м. Гребінка, пров. Пирятинський буд.46",,,,,37243279.0,,(044)206-15-09; (05359)9-14-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1187272,32.4460088
"Державна продовольчо-зернова корпорація України, ПАТ(філія Лубенський насіннє-об","37552, Полтавська обл., Лубенський, с. Засулля, вул. Молодіжна, буд. 137",,,,,37243279.0,,(044)206-15-09; (05361)5-33-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9895693,32.9973075
"ДП ""Вітал-Агро""","38710, Полтавська обл., Полтавський р-н, с. Чорноглазівка, вул Перемоги, 1Г",,,,,3769729.0,(050)359-92-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6637981,34.5152932
"Елеватор Чиста Криниця, ТОВ","39323, Полтавська обл., Новосанжарський, с. Руденківка, вул. Миру буд.57а",,,,,30490001.0,,(05344)9-72-42; 9-82-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.32455419999999,34.3982163
"Кононівський елеватор, ТОВ (м. Хорол)","37800, Полтавська обл., Хорольський, м. Хорол, вул. Вокзальна буд.1",,,,,32284263.0,,(05341)9-15-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7803583,33.2094549
"Кононівський елеватор, ТОВ (с-ще. Семенівка)","38200, Полтавська обл., Семенівський, селище Семенівка, вул. Леніна буд.8",,,,,32284263.0,,(05341)9-15-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6074458,33.1868273
"Лохвицький ККЗ, ТОВ","37240, Полтавська обл., Лохвицький, м.Заводське, вул. П. Мирного буд.6",,,,,05385306.0,(050)304-95-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4024665,33.38474980000001
"МКЗ, ТОВ","37600, Полтавська обл., Миргород, вул. Хорольська буд.44",,,,,00687310.0,,(05355)4-13-53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9296865,33.5890265
"Нібулон СП, ТОВ (Глобине)","39000, Полтавська обл., Глобинський, м. Глобине, вул. Карла Маркса буд.81",,,,,14291113.0,,(0512)37-23-44; (0536)52-49-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.39512819999999,33.2310171
"НІБУЛОН СП, ТОВ (Градизьк)","39070, Полтавська обл., Глобинський, смт Градизьк, вул. Островського буд.23",,,,,14291113.0,,(05365)3-43-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2246515,33.1178483
"НІБУЛОН СП, ТОВ (м. Кременчук)","39630, Полтавська обл., Кременчук, вул. Флотська буд.2-В",,,,,14291113.0,,(0512)37-23-44; (05366)3-60-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.059445,33.4417979
"Нібулон СП, ТОВ (смт. Скороходове)","38813, Полтавська обл., Чутівський, смт.Скороходове, вул. Першотравнева буд.9",,,,,14291113.0,,(0512)37-23-44; (5347)9-94-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7766428,35.0670651
"Нібулон СП, ТОВ (філія Мар'янівська)","37412, Полтавська обл., Гребінківський, с. Мар'янівка, вул. Степова буд.1а, 1б",,,,,14291113.0,,(0512)37-23-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1579705,32.2916642
"Нібулон СП, ТОВ (філія Ромодан)","37650, Полтавська обл., Миргородський, смт. Ромодан, вул. Гарбузенка буд.2",,,,,14291113.0,,(0532)37-23-44; (0532)69-05-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9852184,33.3134364
"Оріль-Лідер, ПрАТ","38353, Полтавська обл., Великобагачанський, с. Рокита, вул. Індустріальна буд.8",,,,,24426809.0,,(0569)38-06-11; (056)740-56-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5866055,33.6370992
"ПАФ ""Гарант""","38310, Полтавська обл.,Великобагачанський р-н., смт. Гоголеве, вул. Ради Європи, буд. 13-Е",,,,,32478714.0,,(05345)9-15-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9248339,33.81737
"Подоляка, ПАФ","38413, Полтавська обл., Решетилівський, с. Покровське, вул. Степова буд. 33В",,,,,24389586.0,,(05351)9-42-19; (05363)2-14-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6338242,34.1483482
"Полтавське ХПП, ПрАТ (Полтава, Ливарна буд.4)","36034, Полтавська обл., Полтава, Ливарна буд.4",,,,,05581898.0,,(0532)53-41-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5879854,34.4563794
"Полтавське ХПП, ПрАТ (с. Покровське, вул. Елеваторна буд.15)","38413, Полтавська обл., Решетилівський, с. Покровське, вул. Елеваторна буд.15",,,,,05581898.0,,(0532)53-41-71; (05363)9-55-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6386893,34.139651
"Полтавське ХПП, ПрАТ (м. Глобине, вул. Центральна 47, вул. Володимирівська 198)","39000, Полтавська обл., м. Глобине, вул. Центральна 47, вул. Володимирівська 198",,,,,05581898.0,,(0532)53-41-71; (05365)2-41-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.38866789999999,33.2320947
"Полтавське ХПП, ПрАТ (смт. Нова Галещина, вул. Центральна, 84 (Жовтнева буд.84))","39140, Полтавська обл., Козельщинський, смт. Нова Галещина, вул. Центральна, 84 (Жовтнева буд.84)",,,,,05581898.0,,(05365)2-14-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.171925,33.7494528
"Полтавське ХПП, ПрАТ (Карлівська дільниця)","39504, Полтавська обл., Карлівський, м. Карлівка, вул. Заводська буд.1 а",,,,,05581898.0,,(0532)53-41-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4538867,35.1189822
"Полтавське ХПП, ПрАТ (м. Миргород)","37601, Полтавська обл., Миргород, вул. Петрівська буд.15",,,,,05581898.0,,(0532)53-41-71; (05355)4-16-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.942559,33.6164174
"Полтавське ХПП, ПрАТ (смт. Гоголеве)","38310, Полтавська обл., Великобагачанський, смт. Гоголеве, вул. Гоголя буд.1, вул. Гоголя, буд. 5, вул. Ради Європи, буд. 11",,,,,05581898.0,(050) 346-05-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9155967,33.8219891
"Полтавський елеватор ЛТД,ПП","38413, Полтавська обл., Решетилівський, с. Жовтневе, пр. Перемоги буд.3",,,,,35778838.0,(095)570--82-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6386893,34.139651
"Полтавський КХП, ДП","38813, Полтавська обл., Чутівський, смт Артемівка, вул. Першотравнева буд.9а",,,,,00952166.0,,(0532)57-28-61; (05347)9-12-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7766428,35.0670651
"Полтавський КХП, ДП (с.Чапаєве)","38832, Полтавська обл., Чутівський, с. Чапаєве, провулок Хлібний буд.25",,,,,00952166.0,,(0532)57-28-61; (05347)9-12-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7447317,34.9868124
"Посулля-Агро, ТОВ","37552, Полтавська обл., Лубенський, с. Засулля, вул. Комсомольська буд.127-А",,,,,00687296.0,,(05361)5-49-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9944406,33.029174
"ПП ""Бурякорадгосп цукрокомбінату імені Халтуріна""","39500, Полтавська область, Карлівський р-н., м. Карлівка, вул. Паркова, буд. 1-Г",,,,,00384934.0,(066)931-36-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4471306,35.1021483
"ПП ""ЯВІР-ХЛІБ""","38832, Полтавська обл., Чутівський р-н, с. Петрівка, пр. Аптечний, 11",,,,,40707004.0,(050)309-76-30,05347)9-55-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7447317,34.9868124
"ПрАТ ""РАЙЗ-МАКСИМКО"" (м. Карлівка)","36500, Полтавська обл., м. Карлівка, вул. Огородня, 1-В",,,,,30382533.0,,(05346)2-31-62; (05346)2-24-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4538794,35.1175038
"ПрАТ ""РАЙЗ-МАКСИМКО"" (с. Лазірки)","37710, Полтавська обл., Оржицький р-н., с. Лазірки, вул. Ворошилова, 1-А",,,,,30382533.0,,(05346)2-31-62; (05357)9-44-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.08792800000001,32.65066640000001
"Приват-Альянс, ТОВ","39400, Полтавська обл., Машівський, смт. Машівка, вул. Першотравнева буд.90б",,,,,33563737.0,,(05364)9-14-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4423662,34.854695
"ТДВ ""УКРОЛІЯПРОДУКТ"" (Тарасівка)","38100, Полтавська обл., Зіньківський р-н, с. Тарасівка, вул. Молодіжна, 74",,,,,00687267.0,,(05353)3-15-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2046322,34.3638532
"ТОВ ""Агрофірма Мічуріна""","39000, Полтавська область, Глобинський р-н., м. Глобине, вул. Курченка, 1-А",,,,,30827141.0,(050)337-99-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.3908092,33.2734618
"ТОВ ""АЛЬФА-КАПІТАЛ БОЖКІВСЬКИЙ ЕЛЕВАТОР""","38741, Полтавська обл., Полтавський р-н, с. Божкове, вул. Центральна, буд. 11",,,,,40729824.0,,(0532)66-949-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.669934,34.758758
"ТОВ ""Бурат-Агро""","17860, Полтавська обл., Хорольський р-н, с. Вишняки, вул. Хмари, буд. 103А",,,,,30152327.0,,(0532)50-91-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7597269,33.3177034
"ТОВ ""Гределіс""","Полтавська обл., Лохвицький р-н, с-ще Юсківці, вул. Зелена,1А",,,,,38896152.0,(050)392-43-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4007562,33.4152496
"ТОВ ""Діловий Агросервіс"" (Миргород)","Полтаська обл., м. Миргород, вул. Гоголя, 32",,,,,40114288.0,,(05355)5-21-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.954789,33.6164757
"ТОВ ""Діловий Агросервіс"" (Ромодан)","37650, Полтавська обл., смт. Ромодан, вул. Миру, 1",,,,,40114288.0,(095)435-97-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.9880955,33.3180376
"ТОВ ""ЕЛЕВАТОР-АГРО""","37240, Полтавська обл., Лохвицький р-н., м. Заводське, вул. Якубовського, 5А",,,,,36913885.0,,(044)585-24-40; (05356)3-54-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.418303,33.3996314
"ТОВ ""Кононівський елеватор""","37710, Полтавська обл., Оржицький, с. Лазірки, вул. Будівельна буд.6-А",,,,,32284263.0,,(04738)9-13-24; (05357)9-42-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0959399,32.6490957
"ТОВ ""Кононівський елеватор"" (м. Гребінка)","37400, Полтавська область, Гребінківський р-н., м. Гребінка, пров. Пирятинський, 48",,,,,32284263.0,,(05359)9-28-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1187272,32.4460088
"ТОВ ""Оберон-Трейд""","37860, Полтавська обл., Хорольський р-н, с. Вишняки, вул. Хмари, 1 буд. 103А",,,,,38080365.0,,(044)599-32-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7597269,33.3177034
"ТОВ ""Полтава - Сад""","38762, Полтавська обл., Полтавський, с.Терешки, вул. Шевченка буд.3а",,,,,31034773.0,,(05325)5-30-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5793483,34.5593304
"ТОВ ""РУБЛІВСЬКИЙ ЕЛЕВАТОР""","39053, Полтавська обл., Глобинський р-н, с. Погреби, вул. Покровська, 104",,,,,40087087.0,(050)308-44-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2485569,33.3349498
"ТОВ ""Сагайдацьке хлібоприймальне підприємство""","38033, Полтавська обл., Шишацький р-н., с. Сагайдак, вул. Федоренка, буд. 1, буд. 89",,,,,40585555.0,,(0532)53-41-71; (0532)9-88-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7281098,33.9826048
"ТОВ ""СПКЗ"" (м. Пирятин, вул. Урожайна буд.12)","37001, Полтавська обл., Пирятинський, м. Пирятин, вул. Урожайна буд.12",,,,,00687340.0, (050)392-43-51,(0532)53-41-71; (0532)9-88-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.240154,32.4918719
