Назва,Адреса,46.4825,30.7233,Пн-пт,08:00–17:00,ЄДРПОУ/Ідент №,Телефони,Unnamed: 8,Unnamed: 9,100 000 ,"Сілосний, напольний",Unnamed: 12,Unnamed: 13,40 км/год,"Заднє, Бокове, гравітаційне, Шнекове, Пневматичне, Ручне",4 м,12 м,40 т,"Самоскид, зерновоз, тентовий",30 км/год,"Верхнє, бокове, Пневматичне, Шнекове, ",3.8 м,11 м,38 т,"Самоскид, зерновоз, тентовий.1",487654,25 км/год,Механічне,60 т,фронт 150 м,"піввагони, зерновози, контейнера",25 км/год.1,Механічне.1,60 т.1,фронт 150 м.1,Хопер,5 км/год,Трубопровід,річкові баржі,5 м,12 м.1,6 м,80 м,4 км/год,Крани,морські судна,7 м,15 м,7 м.1,120 м,Широта,Довгота
"Волинь-зерно-продукт, ТОВ (смт. Луків)","44810, Волинська обл., Турійський, смт. Луків, Смідинська буд.6",,,,,31496816.0,,(0332)28-68-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.29879099999999,24.4377368
ДП Луцький КХП №2,"43022, Волинська обл., Луцьк, вул. Молодогвардійська буд.11",,,,,00953065.0,,(0332)26-95-68; 26-94-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.68893689999999,25.3133761
"ДПЗКУ, ПАТ (Володимир-Волинський)","Волинська обл., м. Володимир-Волинський, вул. Княгині Ольги, 5; вул. Юліана Опільського, 26.",,,,,37243279.0,,(03342)2-29-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8620033,24.3230684
"П'ятидні, ТОВ","45332, Волинська обл., Іваничівський, с. Колона, вул. Терешкова буд.1г",,,,,03735104.0,,(03342)3-49-14; (03372)9-54-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6709078,24.531234
"ТЗОВ ""Агротехніка"" (Чаруків)","45656, Волинська обл., Луцький р-н., с. Чаруків, вул. Вокзальна, 156",,,,,21750952.0,,(03363)2-14-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.613343,25.1560896
ТзОВ «П’ятидні»,"44731, вул. Володимирська, буд. 64-Д, 66-В, 66-Г, 66-Д, 66-Є; вул. Пархоменка, буд. 95-Б, в, м. Устилуг, Володимир-Волинський р-н., Волинська обл.",,,,,03735104.0,,(03342)3-49-14; (03342)3-49-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8557243,24.1568834
"ТОВ ""Агротехніка"" (Турійськ)","44800, Волинська обл., Турійський, смт. Турійськ, вул. Паралельна буд.33",,,,,21750952.0,(067)333-71-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1049021,24.4652687
"ТОВ ""П'ятидні"" (с. Смолигів)","45614, Волинська область, Луцький р-н., с. Смолигів, вул. Миру, 88, 89а, 89б",,,,,03735104.0,(095)210-94-84,(03342)3-49-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7725613,24.9553937
"ТОВ ""П'ятидні""(с. Великий Окорськ)","45524, Волинська область, Локачинський р-н., с. Великий Окорськ, вул. Механізаторів, буд. 3-б, 3-д, 3-г,3-в",,,,,03735104.0,,(03342)3-49-14; (03372)9-54-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.754075,24.9235316
"Апостолове-Агро, ТОВ (м. Апостолове)","53800, Дніпропетровська обл., Апостолівський, м. Апостолове, вул. Елеваторна буд.1",,,,,31713688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.660528,33.7205403
